"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10475502"	"0.12943"	"5.50e-05"	"-6.96"	"1.55967"	"-1.18"	"Gm14085"	"predicted gene 14085"
"10565794"	"0.12943"	"5.82e-05"	"6.91"	"1.52204"	"8.69e-01"	"Serpinh1"	"serine (or cysteine) peptidase inhibitor, clade H, member 1"
"10413542"	"0.13514"	"6.46e-05"	"6.82"	"1.45337"	"7.49e-01"	"Tkt"	"transketolase"
"10342984"	"0.17386"	"8.82e-05"	"-6.56"	"1.24409"	"-1.04"	""	""
"10580382"	"0.17386"	"9.82e-05"	"6.47"	"1.17061"	"6.95e-01"	"Neto2"	"neuropilin (NRP) and tolloid (TLL)-like 2"
"10517727"	"0.17386"	"1.02e-04"	"6.44"	"1.14785"	"7.57e-01"	"Klhdc7a"	"kelch domain containing 7A"
"10584578"	"0.17386"	"1.03e-04"	"6.42"	"1.13682"	"1.01"	"Snord14d///Snord14c///Hspa8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein 8"
"10565609"	"0.17386"	"1.08e-04"	"6.39"	"1.10817"	"1.21"	"Thrsp"	"thyroid hormone responsive"
"10481111"	"0.18898"	"1.22e-04"	"6.29"	"1.01954"	"7.61e-01"	""	""
"10364712"	"0.19171"	"1.29e-04"	"-6.24"	"0.97985"	"-1.27"	"Cirbp"	"cold inducible RNA binding protein"
"10565994"	"0.19479"	"1.37e-04"	"6.19"	"0.94009"	"1.16"	"Art2b"	"ADP-ribosyltransferase 2b"
"10584576"	"0.21022"	"1.64e-04"	"6.05"	"0.81174"	"9.78e-01"	"Snord14d///Snord14c///Hspa8"	"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein 8"
"10421922"	"0.21022"	"1.67e-04"	"6.04"	"0.80201"	"5.52e-01"	""	""
"10539649"	"0.21022"	"1.67e-04"	"6.03"	"0.79965"	"6.07e-01"	"Ptges3"	"prostaglandin E synthase 3 (cytosolic)"
"10341134"	"0.21022"	"1.71e-04"	"6.01"	"0.78122"	"7.70e-01"	""	""
"10510391"	"0.21568"	"1.82e-04"	"5.97"	"0.7387"	"7.94e-01"	"Srm"	"spermidine synthase"
"10368025"	"0.24302"	"2.40e-04"	"5.75"	"0.53919"	"6.51e-01"	"Hspa8"	"heat shock protein 8"
"10584458"	"0.24302"	"2.46e-04"	"-5.73"	"0.52203"	"-6.36e-01"	"Olfr920"	"olfactory receptor 920"
"10583347"	"0.24302"	"2.53e-04"	"5.71"	"0.50146"	"7.87e-01"	"Chordc1"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
"10576073"	"0.24302"	"2.59e-04"	"5.69"	"0.4819"	"5.35e-01"	"Banp"	"BTG3 associated nuclear protein"
"10338539"	"0.24302"	"2.65e-04"	"-5.67"	"0.46569"	"-8.53e-01"	""	""
"10359334"	"0.24302"	"2.68e-04"	"5.67"	"0.45858"	"8.81e-01"	"Cacybp"	"calcyclin binding protein"
"10409261"	"0.24302"	"2.68e-04"	"5.66"	"0.45726"	"6.05e-01"	"Diras2"	"DIRAS family, GTP-binding RAS-like 2"
"10397518"	"0.24302"	"2.74e-04"	"5.65"	"0.44208"	"7.24e-01"	"Ahsa1"	"AHA1, activator of heat shock protein ATPase 1"
"10520362"	"0.24302"	"2.83e-04"	"5.62"	"0.419"	"8.51e-01"	"Insig1"	"insulin induced gene 1"
"10511865"	"0.24302"	"2.88e-04"	"5.61"	"0.40543"	"5.96e-01"	"Ptges3"	"prostaglandin E synthase 3 (cytosolic)"
"10541873"	"0.24302"	"2.92e-04"	"5.60"	"0.39501"	"6.19e-01"	"Mrpl51"	"mitochondrial ribosomal protein L51"
"10436945"	"0.24302"	"2.98e-04"	"5.58"	"0.3796"	"5.83e-01"	"Slc5a3"	"solute carrier family 5 (inositol transporters), member 3"
"10398824"	"0.24302"	"3.00e-04"	"5.58"	"0.37609"	"7.73e-01"	"A530016L24Rik"	"RIKEN cDNA A530016L24 gene"
"10587150"	"0.24302"	"3.02e-04"	"5.58"	"0.3713"	"6.72e-01"	"Myo5c"	"myosin VC"
"10380289"	"0.24302"	"3.08e-04"	"5.56"	"0.35487"	"9.85e-01"	"Mmd"	"monocyte to macrophage differentiation-associated"
"10528021"	"0.24302"	"3.14e-04"	"5.54"	"0.34069"	"6.28e-01"	"Hspa8///Hspa8"	"heat shock protein 8///heat shock protein 8"
"10477649"	"0.24411"	"3.32e-04"	"5.50"	"0.29961"	"1.05"	"Acss2"	"acyl-CoA synthetase short-chain family member 2"
"10513739"	"0.24411"	"3.33e-04"	"5.50"	"0.29729"	"8.12e-01"	"Tnc"	"tenascin C"
"10595480"	"0.24411"	"3.36e-04"	"5.49"	"0.29052"	"1.30"	"Me1"	"malic enzyme 1, NADP(+)-dependent, cytosolic"
"10363460"	"0.2508"	"3.62e-04"	"5.44"	"0.23522"	"7.21e-01"	"Tbata"	"thymus, brain and testes associated"
"10405753"	"0.2508"	"3.69e-04"	"5.42"	"0.22139"	"1.30"	"Me1"	"malic enzyme 1, NADP(+)-dependent, cytosolic"
"10338158"	"0.2508"	"3.78e-04"	"-5.41"	"0.20285"	"-6.87e-01"	""	""
"10373452"	"0.2508"	"3.84e-04"	"-5.40"	"0.19222"	"-7.20e-01"	"Ciart"	"circadian associated repressor of transcription"
"10430725"	"0.2508"	"3.87e-04"	"5.39"	"0.18504"	"6.53e-01"	"St13"	"suppression of tumorigenicity 13"
"10343685"	"0.2508"	"3.88e-04"	"-5.39"	"0.18415"	"-7.05e-01"	""	""
"10357292"	"0.25094"	"3.95e-04"	"5.37"	"0.17022"	"5.75e-01"	"Ddx18"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18"
"10388824"	"0.26771"	"4.29e-04"	"5.31"	"0.10829"	"6.29e-01"	"Foxn1"	"forkhead box N1"
"10515134"	"0.28592"	"4.66e-04"	"5.25"	"0.04547"	"1.00"	"Skint9"	"selection and upkeep of intraepithelial T cells 9"
"10443598"	"0.29099"	"5.01e-04"	"5.20"	"-0.00915"	"7.93e-01"	"Dnah8"	"dynein, axonemal, heavy chain 8"
"10354418"	"0.29099"	"5.02e-04"	"5.20"	"-0.01094"	"6.10e-01"	"Nabp1"	"nucleic acid binding protein 1"
"10383210"	"0.29099"	"5.04e-04"	"5.19"	"-0.01338"	"5.68e-01"	""	""
"10339254"	"0.29099"	"5.11e-04"	"5.18"	"-0.02441"	"1.14"	""	""
"10438262"	"0.29099"	"5.20e-04"	"5.17"	"-0.03677"	"9.94e-01"	"Slc25a1"	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1"
"10425161"	"0.29099"	"5.31e-04"	"5.16"	"-0.05358"	"7.01e-01"	"Lgals1"	"lectin, galactose binding, soluble 1"
"10463355"	"0.29099"	"5.33e-04"	"5.15"	"-0.05661"	"6.31e-01"	"Scd2"	"stearoyl-Coenzyme A desaturase 2"
"10450880"	"0.29099"	"5.40e-04"	"5.14"	"-0.06608"	"7.92e-01"	"H2-M2"	"histocompatibility 2, M region locus 2"
"10414909"	"0.30107"	"5.74e-04"	"5.10"	"-0.11227"	"1.04"	"Trav3n-3///Trav3-3"	"T cell receptor alpha variable 3N-3///T cell receptor alpha variable 3-3"
"10345675"	"0.30107"	"5.76e-04"	"5.10"	"-0.11527"	"9.93e-01"	"Npas2"	"neuronal PAS domain protein 2"
"10453553"	"0.30107"	"5.84e-04"	"-5.09"	"-0.1261"	"-6.60e-01"	"Gm1976"	"predicted gene 1976"
"10340414"	"0.30256"	"6.03e-04"	"-5.07"	"-0.14976"	"-8.74e-01"	""	""
"10487597"	"0.30256"	"6.04e-04"	"5.06"	"-0.15178"	"5.33e-01"	"Il1b"	"interleukin 1 beta"
"10584580"	"0.32755"	"6.63e-04"	"5.00"	"-0.22358"	"1.00"	"Snord14e"	"small nucleolar RNA, C/D box 14E"
"10584561"	"0.33457"	"6.92e-04"	"4.97"	"-0.25628"	"6.39e-01"	"Clmp"	"CXADR-like membrane protein"
"10572635"	"0.33457"	"6.96e-04"	"4.96"	"-0.26108"	"8.12e-01"	"Sfn"	"stratifin"
"10487937"	"0.34075"	"7.36e-04"	"4.92"	"-0.30386"	"6.93e-01"	"Prokr2"	"prokineticin receptor 2"
"10363350"	"0.34075"	"7.42e-04"	"4.92"	"-0.31031"	"9.31e-01"	"P4ha1"	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide"
"10579852"	"0.34075"	"7.45e-04"	"4.91"	"-0.3136"	"5.67e-01"	"Mmaa"	"methylmalonic aciduria (cobalamin deficiency) type A"
"10425822"	"0.34075"	"7.47e-04"	"4.91"	"-0.31601"	"8.91e-01"	"Pnpla3"	"patatin-like phospholipase domain containing 3"
"10344121"	"0.34295"	"7.62e-04"	"-4.90"	"-0.33087"	"-6.14e-01"	""	""
"10467206"	"0.34366"	"7.73e-04"	"4.89"	"-0.34225"	"8.49e-01"	"Ppp1r3c"	"protein phosphatase 1, regulatory (inhibitor) subunit 3C"
"10583809"	"0.35087"	"8.00e-04"	"4.86"	"-0.36911"	"6.45e-01"	"Cnn1"	"calponin 1"
"10338331"	"0.35087"	"8.10e-04"	"-4.86"	"-0.37868"	"-8.09e-01"	""	""
"10346790"	"0.35087"	"8.24e-04"	"-4.84"	"-0.39202"	"-6.85e-01"	"Ctla4"	"cytotoxic T-lymphocyte-associated protein 4"
"10483719"	"0.35087"	"8.29e-04"	"4.84"	"-0.39638"	"6.63e-01"	"Chn1"	"chimerin 1"
"10608665"	"0.35407"	"8.57e-04"	"4.82"	"-0.42204"	"5.07e-01"	""	""
"10349648"	"0.35407"	"8.58e-04"	"-4.82"	"-0.42362"	"-7.07e-01"	"Ctse"	"cathepsin E"
"10340729"	"0.35407"	"8.78e-04"	"4.80"	"-0.44173"	"5.05e-01"	""	""
"10604751"	"0.35407"	"8.79e-04"	"4.80"	"-0.44246"	"5.29e-01"	"Fgf13"	"fibroblast growth factor 13"
"10379530"	"0.35407"	"9.01e-04"	"4.78"	"-0.46123"	"7.26e-01"	"Ccl12"	"chemokine (C-C motif) ligand 12"
"10427679"	"0.35407"	"9.13e-04"	"4.77"	"-0.47216"	"4.62e-01"	"Spef2"	"sperm flagellar 2"
"10580219"	"0.35407"	"9.18e-04"	"4.77"	"-0.47633"	"5.84e-01"	"Calr"	"calreticulin"
"10490129"	"0.35407"	"9.25e-04"	"4.76"	"-0.48189"	"4.43e-01"	"Bmp7"	"bone morphogenetic protein 7"
"10510580"	"0.35407"	"9.46e-04"	"4.75"	"-0.49937"	"6.02e-01"	"Tnfrsf9"	"tumor necrosis factor receptor superfamily, member 9"
"10339662"	"0.35407"	"9.60e-04"	"-4.74"	"-0.51143"	"-4.90e-01"	""	""
"10529671"	"0.35407"	"9.63e-04"	"-4.74"	"-0.51338"	"-5.24e-01"	"Slc2a9"	"solute carrier family 2 (facilitated glucose transporter), member 9"
"10472916"	"0.35407"	"9.83e-04"	"4.72"	"-0.53019"	"5.83e-01"	"Cdca7"	"cell division cycle associated 7"
"10538892"	"0.35407"	"9.84e-04"	"-4.72"	"-0.53061"	"-5.97e-01"	"Notch4///Sympk"	"notch 4///symplekin"
"10369413"	"0.35407"	"9.94e-04"	"4.71"	"-0.53844"	"5.48e-01"	"Sgpl1"	"sphingosine phosphate lyase 1"
"10343510"	"0.35407"	"9.96e-04"	"4.71"	"-0.53981"	"1.00"	""	""
"10462398"	"0.35407"	"9.96e-04"	"4.71"	"-0.53995"	"6.51e-01"	"Pdcd1lg2"	"programmed cell death 1 ligand 2"
"10533725"	"0.36243"	"1.03e-03"	"4.69"	"-0.56612"	"8.60e-01"	"Hcar1"	"hydrocarboxylic acid receptor 1"
"10463517"	"0.36321"	"1.04e-03"	"4.68"	"-0.57559"	"6.07e-01"	"Pprc1"	"peroxisome proliferative activated receptor, gamma, coactivator-related 1"
"10584572"	"0.36584"	"1.06e-03"	"4.67"	"-0.58895"	"6.21e-01"	"Hspa8"	"heat shock protein 8"
"10342214"	"0.36869"	"1.09e-03"	"-4.65"	"-0.60917"	"-1.12"	""	""
"10415086"	"0.36869"	"1.09e-03"	"4.65"	"-0.61025"	"7.92e-01"	"Psmb11"	"proteasome (prosome, macropain) subunit, beta type, 11"
"10538658"	"0.37197"	"1.12e-03"	"-4.63"	"-0.63054"	"-6.30e-01"	"Herc3"	"hect domain and RLD 3"
"10365003"	"0.37197"	"1.13e-03"	"4.62"	"-0.64224"	"1.12"	"Snord37"	"small nucleolar RNA, C/D box 37"
"10523190"	"0.37197"	"1.13e-03"	"4.62"	"-0.64234"	"6.95e-01"	"Parm1"	"prostate androgen-regulated mucin-like protein 1"
"10526277"	"0.37197"	"1.16e-03"	"4.61"	"-0.65942"	"5.92e-01"	"Mlxipl"	"MLX interacting protein-like"
"10426611"	"0.37197"	"1.16e-03"	"4.61"	"-0.66"	"6.08e-01"	"Cacnb3"	"calcium channel, voltage-dependent, beta 3 subunit"
"10343370"	"0.37197"	"1.18e-03"	"-4.59"	"-0.67482"	"-1.09"	""	""
"10438098"	"0.37197"	"1.19e-03"	"4.59"	"-0.68083"	"7.60e-01"	"Sdf2l1"	"stromal cell-derived factor 2-like 1"
"10405179"	"0.37197"	"1.19e-03"	"4.59"	"-0.68343"	"8.15e-01"	"S1pr3"	"sphingosine-1-phosphate receptor 3"
"10574098"	"0.37197"	"1.19e-03"	"4.59"	"-0.68381"	"5.43e-01"	"Nlrc5"	"NLR family, CARD domain containing 5"
"10342522"	"0.37197"	"1.20e-03"	"4.58"	"-0.6892"	"5.29e-01"	""	""
"10445953"	"0.37774"	"1.24e-03"	"4.56"	"-0.71083"	"6.43e-01"	"Adgre4"	"adhesion G protein-coupled receptor E4"
"10430186"	"0.37774"	"1.24e-03"	"4.56"	"-0.71508"	"9.74e-01"	"Apol7c"	"apolipoprotein L 7c"
"10523062"	"0.393"	"1.30e-03"	"4.53"	"-0.75331"	"3.05"	"Alb"	"albumin"
"10506571"	"0.39454"	"1.32e-03"	"4.52"	"-0.76342"	"6.26e-01"	"Dhcr24"	"24-dehydrocholesterol reductase"
"10338321"	"0.39454"	"1.33e-03"	"4.51"	"-0.7698"	"8.29e-01"	""	""
"10418921"	"0.39494"	"1.38e-03"	"4.49"	"-0.79767"	"7.43e-01"	"Sncg"	"synuclein, gamma"
"10507062"	"0.39494"	"1.39e-03"	"4.49"	"-0.80145"	"8.20e-01"	"Skint4"	"selection and upkeep of intraepithelial T cells 4"
"10477986"	"0.39494"	"1.40e-03"	"4.48"	"-0.80865"	"8.64e-01"	"Nnat"	"neuronatin"
"10447629"	"0.39494"	"1.43e-03"	"4.47"	"-0.8244"	"4.44e-01"	"Tagap1///Tagap"	"T cell activation GTPase activating protein 1///T cell activation Rho GTPase activating protein"
"10412078"	"0.39494"	"1.43e-03"	"4.46"	"-0.82645"	"5.18e-01"	"Gapt"	"Grb2-binding adaptor, transmembrane"
"10340124"	"0.39494"	"1.45e-03"	"-4.46"	"-0.83714"	"-1.14"	""	""
"10342977"	"0.39494"	"1.46e-03"	"4.45"	"-0.84398"	"8.03e-01"	""	""
"10344612"	"0.39494"	"1.50e-03"	"4.43"	"-0.86442"	"1.00"	""	""
"10494662"	"0.39494"	"1.50e-03"	"4.43"	"-0.86467"	"4.71e-01"	"Ywhah"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
"10586865"	"0.39494"	"1.50e-03"	"4.43"	"-0.86663"	"9.79e-01"	"Aldh1a2"	"aldehyde dehydrogenase family 1, subfamily A2"
"10574027"	"0.39494"	"1.51e-03"	"-4.43"	"-0.87252"	"-7.52e-01"	"Mt1"	"metallothionein 1"
"10394749"	"0.39494"	"1.54e-03"	"4.42"	"-0.88377"	"4.77e-01"	"Nol10"	"nucleolar protein 10"
"10589654"	"0.39494"	"1.54e-03"	"4.41"	"-0.88756"	"5.84e-01"	"Als2cl"	"ALS2 C-terminal like"
"10581266"	"0.39494"	"1.54e-03"	"4.41"	"-0.88844"	"1.07"	"Tppp3"	"tubulin polymerization-promoting protein family member 3"
"10445926"	"0.39494"	"1.56e-03"	"-4.41"	"-0.89431"	"-4.64e-01"	"4932415M13Rik"	"RIKEN cDNA 4932415M13 gene"
"10525893"	"0.39494"	"1.56e-03"	"4.41"	"-0.89444"	"6.55e-01"	"Aacs"	"acetoacetyl-CoA synthetase"
"10606948"	"0.39494"	"1.61e-03"	"4.38"	"-0.92318"	"6.02e-01"	"Morc4"	"microrchidia 4"
"10510516"	"0.39494"	"1.62e-03"	"4.38"	"-0.92515"	"6.12e-01"	"Slc2a5"	"solute carrier family 2 (facilitated glucose transporter), member 5"
"10521168"	"0.39494"	"1.63e-03"	"4.38"	"-0.93075"	"7.16e-01"	"Nat8l"	"N-acetyltransferase 8-like"
"10472277"	"0.39494"	"1.63e-03"	"-4.37"	"-0.9337"	"-4.60e-01"	"March7"	"membrane-associated ring finger (C3HC4) 7"
"10569646"	"0.39494"	"1.64e-03"	"4.37"	"-0.93712"	"7.65e-01"	"Ccnd1"	"cyclin D1"
"10453102"	"0.39494"	"1.64e-03"	"4.37"	"-0.9378"	"4.70e-01"	"Srsf7"	"serine/arginine-rich splicing factor 7"
"10398308"	"0.39494"	"1.67e-03"	"-4.36"	"-0.9516"	"-4.53e-01"	"Wdr25"	"WD repeat domain 25"
"10584712"	"0.39494"	"1.68e-03"	"4.36"	"-0.95577"	"5.62e-01"	"Hyou1"	"hypoxia up-regulated 1"
"10346303"	"0.39494"	"1.68e-03"	"4.36"	"-0.95595"	"5.96e-01"	"Hspe1"	"heat shock protein 1 (chaperonin 10)"
"10546805"	"0.39494"	"1.68e-03"	"4.36"	"-0.95616"	"5.25e-01"	"Ddx18"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18"
"10491780"	"0.39494"	"1.68e-03"	"4.36"	"-0.95625"	"6.06e-01"	"Hspa4l"	"heat shock protein 4 like"
"10339688"	"0.39494"	"1.68e-03"	"-4.36"	"-0.95684"	"-9.82e-01"	""	""
"10338757"	"0.39494"	"1.69e-03"	"4.35"	"-0.96161"	"4.48e-01"	""	""
"10593713"	"0.39494"	"1.69e-03"	"4.35"	"-0.96167"	"5.86e-01"	"Cib2"	"calcium and integrin binding family member 2"
"10516596"	"0.39494"	"1.69e-03"	"-4.35"	"-0.96255"	"-5.40e-01"	"Zbtb8b"	"zinc finger and BTB domain containing 8b"
"10510687"	"0.39494"	"1.71e-03"	"4.35"	"-0.96764"	"7.87e-01"	"Acot7"	"acyl-CoA thioesterase 7"
"10571612"	"0.39494"	"1.71e-03"	"-4.34"	"-0.96969"	"-4.88e-01"	"Ccdc110"	"coiled-coil domain containing 110"
"10425601"	"0.39494"	"1.71e-03"	"-4.34"	"-0.97019"	"-4.38e-01"	"Tef"	"thyrotroph embryonic factor"
"10342184"	"0.39623"	"1.73e-03"	"-4.34"	"-0.97802"	"-4.86e-01"	""	""
"10347564"	"0.39765"	"1.74e-03"	"4.33"	"-0.98608"	"5.74e-01"	"Dnajb2///Dnajb2"	"DnaJ heat shock protein family (Hsp40) member B2///DnaJ heat shock protein family (Hsp40) member B2"
"10434998"	"0.39813"	"1.76e-03"	"4.33"	"-0.99219"	"4.61e-01"	"Ncbp2"	"nuclear cap binding protein subunit 2"
"10359118"	"0.4042"	"1.80e-03"	"4.31"	"-1.01037"	"5.17e-01"	"Tdrd5"	"tudor domain containing 5"
"10488421"	"0.4042"	"1.81e-03"	"-4.31"	"-1.01458"	"-4.96e-01"	""	""
"10590909"	"0.40855"	"1.84e-03"	"4.30"	"-1.02826"	"5.92e-01"	"Endod1"	"endonuclease domain containing 1"
"10518781"	"0.41116"	"1.88e-03"	"-4.28"	"-1.04607"	"-4.57e-01"	"Per3"	"period circadian clock 3"
"10339740"	"0.41116"	"1.88e-03"	"4.28"	"-1.04709"	"4.66e-01"	""	""
"10365918"	"0.41116"	"1.88e-03"	"4.28"	"-1.04839"	"5.34e-01"	"Ube2n"	"ubiquitin-conjugating enzyme E2N"
"10504761"	"0.41187"	"1.90e-03"	"-4.27"	"-1.0547"	"-5.80e-01"	"Notch4///Sympk"	"notch 4///symplekin"
"10455588"	"0.41248"	"1.93e-03"	"4.26"	"-1.067"	"6.05e-01"	"Hspe1"	"heat shock protein 1 (chaperonin 10)"
"10559741"	"0.41248"	"1.95e-03"	"-4.26"	"-1.07724"	"-6.86e-01"	"Vmn1r58"	"vomeronasal 1 receptor 58"
"10462390"	"0.41248"	"1.97e-03"	"4.25"	"-1.08232"	"5.38e-01"	"Cd274"	"CD274 antigen"
"10339757"	"0.41248"	"1.97e-03"	"4.25"	"-1.08444"	"5.01e-01"	""	""
"10379820"	"0.41248"	"1.98e-03"	"4.25"	"-1.08676"	"1.38"	"Acaca"	"acetyl-Coenzyme A carboxylase alpha"
"10406795"	"0.41248"	"1.98e-03"	"4.25"	"-1.08958"	"4.57e-01"	"Gfm2"	"G elongation factor, mitochondrial 2"
"10387838"	"0.41248"	"1.98e-03"	"4.25"	"-1.08967"	"8.13e-01"	"Alox12e"	"arachidonate lipoxygenase, epidermal"
"10351039"	"0.42138"	"2.05e-03"	"4.22"	"-1.11764"	"6.92e-01"	"Gas5"	"growth arrest specific 5"
"10342034"	"0.42138"	"2.06e-03"	"-4.22"	"-1.11925"	"-5.75e-01"	""	""
"10476093"	"0.42138"	"2.09e-03"	"4.21"	"-1.1319"	"4.80e-01"	"Nop56"	"NOP56 ribonucleoprotein"
"10543065"	"0.42138"	"2.10e-03"	"-4.21"	"-1.13651"	"-5.53e-01"	""	""
"10521725"	"0.42138"	"2.11e-03"	"4.21"	"-1.13876"	"5.79e-01"	"Med28"	"mediator complex subunit 28"
"10526069"	"0.42138"	"2.11e-03"	"4.20"	"-1.13947"	"4.57e-01"	"Cct6a"	"chaperonin containing Tcp1, subunit 6a (zeta)"
"10431410"	"0.42138"	"2.12e-03"	"4.20"	"-1.14278"	"4.70e-01"	"Mapk11"	"mitogen-activated protein kinase 11"
"10504753"	"0.42138"	"2.13e-03"	"-4.20"	"-1.14665"	"-5.37e-01"	"Notch4///Sympk"	"notch 4///symplekin"
"10467319"	"0.42138"	"2.13e-03"	"4.20"	"-1.1485"	"9.78e-01"	"Rbp4"	"retinol binding protein 4, plasma"
"10596492"	"0.42266"	"2.17e-03"	"4.18"	"-1.16391"	"4.96e-01"	"Parp3"	"poly (ADP-ribose) polymerase family, member 3"
"10464425"	"0.42266"	"2.18e-03"	"4.18"	"-1.16425"	"6.99e-01"	"Grk5"	"G protein-coupled receptor kinase 5"
"10428955"	"0.42266"	"2.19e-03"	"-4.18"	"-1.16997"	"-5.93e-01"	"Gsdmc2"	"gasdermin C2"
"10514865"	"0.42266"	"2.21e-03"	"4.18"	"-1.17612"	"6.62e-01"	"Acot11"	"acyl-CoA thioesterase 11"
"10340088"	"0.42266"	"2.21e-03"	"4.17"	"-1.17816"	"6.44e-01"	""	""
"10440158"	"0.42266"	"2.22e-03"	"-4.17"	"-1.18155"	"-4.82e-01"	"Olfr191"	"olfactory receptor 191"
"10515943"	"0.42266"	"2.22e-03"	"4.17"	"-1.1819"	"6.73e-01"	"Ctps"	"cytidine 5'-triphosphate synthase"
"10354389"	"0.42686"	"2.26e-03"	"4.16"	"-1.1943"	"6.96e-01"	"Slc39a10"	"solute carrier family 39 (zinc transporter), member 10"
"10341365"	"0.42686"	"2.27e-03"	"-4.16"	"-1.20037"	"-7.26e-01"	""	""
"10338844"	"0.42686"	"2.28e-03"	"4.15"	"-1.20287"	"6.24e-01"	""	""
"10586140"	"0.43703"	"2.35e-03"	"4.13"	"-1.22685"	"6.87e-01"	"Lctl"	"lactase-like"
"10432157"	"0.43703"	"2.36e-03"	"-4.13"	"-1.23053"	"-4.29e-01"	"Lalba///Trip12"	"lactalbumin, alpha///thyroid hormone receptor interactor 12"
"10340499"	"0.43918"	"2.41e-03"	"-4.12"	"-1.24706"	"-9.87e-01"	""	""
"10406896"	"0.43918"	"2.41e-03"	"-4.12"	"-1.2477"	"-8.37e-01"	""	""
"10415693"	"0.43918"	"2.41e-03"	"4.12"	"-1.2491"	"4.93e-01"	"Shisa2"	"shisa family member 2"
"10558740"	"0.43918"	"2.42e-03"	"4.11"	"-1.25199"	"7.45e-01"	""	""
"10385495"	"0.43918"	"2.47e-03"	"4.10"	"-1.26752"	"5.08e-01"	"Cdk2ap1"	"CDK2 (cyclin-dependent kinase 2)-associated protein 1"
"10451580"	"0.43918"	"2.48e-03"	"4.10"	"-1.26966"	"5.80e-01"	"Bysl"	"bystin-like"
"10530759"	"0.43918"	"2.49e-03"	"4.10"	"-1.27336"	"5.37e-01"	"Ube2n"	"ubiquitin-conjugating enzyme E2N"
"10339085"	"0.43918"	"2.49e-03"	"4.10"	"-1.27451"	"6.02e-01"	""	""
"10339081"	"0.43918"	"2.50e-03"	"4.09"	"-1.27687"	"1.31"	""	""
"10362115"	"0.43918"	"2.51e-03"	"4.09"	"-1.28119"	"6.06e-01"	"Slc18b1"	"solute carrier family 18, subfamily B, member 1"
"10341366"	"0.43918"	"2.52e-03"	"-4.09"	"-1.28435"	"-8.36e-01"	""	""
"10403413"	"0.43918"	"2.53e-03"	"4.09"	"-1.28641"	"8.66e-01"	"Idi1"	"isopentenyl-diphosphate delta isomerase"
"10404840"	"0.43918"	"2.53e-03"	"4.09"	"-1.28788"	"6.05e-01"	"Cd83"	"CD83 antigen"
"10343673"	"0.43995"	"2.57e-03"	"-4.08"	"-1.29845"	"-1.02"	""	""
"10343030"	"0.43995"	"2.58e-03"	"4.07"	"-1.30247"	"1.34"	""	""
